	ID	Optimism7days.6	Optimism6months.6	Optimism10years.6	Optimistic2.6	Optimistic4.6	Optimistic7.6
284	284	Bills come due but I can't pay all of them	I could find a job by then	this will be in my rear view-just a memory	60.0	60.0	85.0
285	285	Bills come due but I can't pay all of them	I could find a job by then	this will be in my rear view-just a memory	60.0	60.0	85.0
286	286	Rally just that things are probably not going to change much in just 7 days.	Covid cases are falling right now; and I am pretty confident they will continue to fall.  We will also be in the summer months and I know that will improve my mood.	Am hoping that by then 2020 will be a distant memory and things will be better!	51.0	51.0	52.0
287	287						
288	288						
289	289						
290	290	my job/financial situation; other people; the shitshow that is the government	other people; the shitshow that is the government; our inability to deal with big ticket structural issues	climate change; our inability to deal with big ticket structural issues; climate change again; the economy/my own financial situation	15.0	23.0	9.0
291	291						
292	292						
293	293	work projects	work promotion and a raise	my children getting into college	80.0	95.0	100.0
294	294				63.0	60.0	37.0
295	295	just maintaining the status quo	many people getting vaccinated; I should be vaccinated by then	hopefully my relationship with keera will be going strong and I won't be alone	56.0	64.0	83.0
296	296						
297	297						
298	298	Family; friends	Family friends	Family friends	76.0	83.0	88.0
299	299						
300	300	The weather and my health	I should be traveling by then and life should be better and I should see my grandkids by then	Well I could be dead but I really don't have a feel for 10 years from now. Who does?	84.0	100.0	78.0
301	301	That we have a long way to go with Covid	Hopefully more people will be vaccinated.	That we will have learned how to deal.	20.0	46.0	100.0
302	302	how bad the corona virus still is	if the pandemic is over for good	what the world health will look like in 10 years	7.0	51.0	94.0
303	303						
304	304	continued fear of those who want to take over the government	the hope of seeing people in person again	don't know if I'll still be alive then	2.0	29.0	51.0
305	305						
306	306	money	vaccine	my career	100.0	100.0	100.0
307	307	I waiting for my relief check from the government	More people will have received the vaccination	The arc of justice will prevale	54.0	77.0	100.0
308	308	the coming of a new weekend	the coming of warmer weather	a positive change in government and economy	90.0	90.0	90.0
309	309						
310	310						
311	311	Myself.	Finding a job and renting in the USA.	Finding a job and renting in the USA.	52.0	28.0	8.0
312	312	How my life is going now; how work is going; how I'm feeling.	If things might change for me. What I will be doing. The pandemic.	How old I will be then. Retirement.	91.0	90.0	90.0
313	313	A stable and normal life like before covid-19	I hope i will be able to go anywhere without any restrictions like before covid-19	Can be able to go to public gatherings; travel different countries or different cultural shows	61.0	80.0	100.0
314	314	Friendships	investments	longevity	83.0	96.0	98.0
315	315	Plumbing issues	finances	retirement	1.0	7.0	36.0
316	316	The number of coronavirus cases.	The number of coronavirus cases versus time it's taking to vaccinate.	Hopefully we are through the pandemic.	0.0	20.0	100.0
317	317	No major changes on the horizon. Things will probably stay pretty much as they are now.	No major changes on the horizon. Things will probably stay pretty much as they are now.	Hopefully our current aberration of widespread hatefulness and unrealistic thinking will have passed.	55.0	55.0	63.0
318	318	nothing; things will probably be the same	nothing	the U S	50.0	50.0	73.0
319	319						
320	320	completing my goals	completed goals	content	89.0	100.0	100.0
321	321						
322	322	upcoming birthdays	better virus situation	well retired	62.0	68.0	67.0
323	323						
324	324	That things will continue to get better	That things will continue to get better	That things will continue to get better	90.0	92.0	89.0
325	325	The things I'm going to get done for school/my career	The start of next semester and finally getting a vaccine	my career and where I will be living	65.0	74.0	91.0
326	326						
327	327	health of the world	health of my family	the environment	23.0	37.0	74.0
328	328	same as today	starting to return to normal	hard to tell its too far off	20.0	61.0	72.0
329	329	Business is slow	The state of the economhy	I'm going to be retired	20.0	50.0	75.0
330	330						
331	331	Family	Economy	Future			
332	332	Errands; pet health	Living situation	Living situation	60.0	55.0	54.0
333	333						
334	334	illnesses and financial issues	illnesses and financial issues	illnesses and financial issues	0.0	0.0	54.0
335	335						
336	336						
337	337						
338	338						
339	339						
340	340	I'm optimistic about work.	I become more optimistic about my family.	I become more optimistic about my retirement.	95.0	100.0	93.0
341	341						
342	342	Some legislation; increased COVID vaccine	Covid decline; finances; health; weather	rebuilding; necessary environmental changes	66.0	81.0	87.0
343	343						
344	344	What new awful news is going to come out of CPAC and what dumb things will happen in the senate in the next week.	Maybe the vaccine rollout will be done and we'll be on the way back to some sort of normalcy.	Honestly; it's far enough away that things could be better or worse. But hopefully not the same as they are right now.	36.0	63.0	66.0
345	345	nothing special; there will be no changes at all /	most of the people will be vaccinated; end of the pandemic /	global warming will be worse/	1.0	70.0	60.0
346	346	How my life will be.	How life will be it terms of money; health the world.	Life; money; family; friends; health; world.	0.0	0.0	0.0
347	347	family and friends united again.	the covid is past.	more tranquility next to my wife and children and in a more humble world because of the pandemic.	10.0	80.0	100.0
348	348	things being the same	more vaccinations	The pandemic might continue; but climate change; polarization; political issues worsen	71.0	78.0	87.0
349	349	some short term stress will be over	I think about things getting better financially	I will have my current issues straightened out.	25.0	60.0	90.0
350	350	I'm panicky about how little time (might) be left in my life; for various reasons. Plus I have to do our taxes.	I hate spending time on health issues; but I have no choice. Maybe 6 months from now one or two of those time-consuming problems will be resolved.	I try not to think that far ahead. But I'm committed to the idea that being flexible and adapting to change are the keys to being able to continue doing what is most important to me. Negative emotions; though; are hindering me. And too little money.	40.0	44.0	43.0
351	351	be worse	more better then worse	better	35.0	55.0	0.0
352	352	be worse	more better then worse	better	35.0	55.0	0.0
353	353	Nothing other than what's happening today.	That we would be close to herd immunity with the amount of people vaccinated.	I will be close to 75 years old and my health will be less than it is today.	50.0	80.0	50.0
354	354	the stock market; the stimulas bill; taxes done; every day is a closer day to spring and summer	Optimistic: vaccines & effects more widespread; warmer weather; more knowledge acquired (taking classes)	growth of my 2 yr old grandson; stability of my son's life; more personal freedom;	53.0	78.0	100.0
355	355						
356	356	vaccine availability	Herd immunity	Preventing authoritarian government takeover	30.0	50.0	75.0
357	357	Having my usual monthly income and buying the things that I will need to survive another month.	More people will have received the vaccinations and we will be on the road to recovery.	"The ""new"" normal will have set it and people will feel more secure about going about their daily lives."	70.0	80.0	90.0
358	358	Just keeping going with remote working; helping people in my family get vaccinated.	I think most Americans who are going to be vaccinated will be by this time.	I always think of the future as being better than the present. I always have hope.	53.0	98.0	100.0
359	359	The stock market was terrible and I am afraid it will continue that way	Maybe more people will have been vaccinated and we can see an end to this pandemic	Hard to know; I will be old and worry about my health and what will become of society	30.0	45.0	83.0
360	360	being in good health; feeling successful at work and home	I expect my family and I to have been vaccinated and much of life returning to normal.	"I think about our sons being ""launched"" (graduated from college) and feeling a sense of freedom."	51.0	58.0	82.0
361	361	Receivingmoney and my second vaccine shot	More people receiving the vaccine and the stimulus takes effect	Back to normal living	10.0	40.0	100.0
362	362	covid;  financial struggles; racism; greed; lack of empathy; racism; greed; lack of empathy	covid;  people not having what they need; racism; greed; lack of empathy	climate change; racism; lack of people caring about one another; people struggling financially; corruption	0.0	9.0	19.0
363	363						
364	364						
365	365	sales of a couple of items listed on Ebay	some positive momentum and results from work I've been putting to adjust to conditions re: COVID-19	health at my resent age if I live this long being 75 at this time and in good health and remaining active	50.0	57.0	76.0
366	366	Vaccine	COVID being like the flu	More pandemics	50.0	72.0	75.0
367	367	This relates more to my immediate relationships versus in general	I was thinking in general; things will improve in the country COVIDwise	That in 10 years something else will come along	18.0	81.0	93.0
368	368	Getting my living room remodeled	finishing my house construction	Hoping I am still healthy	80.0	81.0	60.0
369	369						
370	370	same ol thing	virus will have subsided due to vaccinations	who knows?	51.0	62.0	85.0
371	371						
372	372	covid is still raging; Senate is still against everything	covid should be improving; Democrats will have passed important help to people	COVID will be over; economy will have recovered	19.0	50.0	68.0
373	373	The current COVID situation.	The COVID situation.	Where I will be living and how.	20.0	54.0	65.0
374	374	It won't be much different than today... right this moment	I think the vaccine will be available and I will have had my shot	Assuming my health is still good I think things will be OK.	80.0	85.0	80.0
375	375						
376	376	The weather will keep getting warmer as Spring approaches.	I look forward to traveling if the pandemic abates enough.	I'll be ten years older if I live that long and I fear global warming effects will worsen.	50.0	70.0	4.0
377	377	Getting a large project started	Getting many projects finished	Being very old and poor	50.0	30.0	5.0
378	378						
379	379	a 3rd stimulus check	the world going back to normal	having my own buisness	44.0	50.0	50.0
380	380						
381	381	Situations outside of my control	Situations outside of my control	Situations outside of my control	50.0	20.0	7.0
382	382	I've had continued productivity that will probably make an easy week ahead!	Continued work on work projects may start to materialize	Things personally important to me would start happening; or having an effect	85.0	90.0	95.0
383	383	covid relief; work; warmer weather	Covid going away; live music; more normal life	political climate; personal finances; environment	55.0	80.0	65.0
384	384						
385	385	The vaccine rollout is still pretty slow and disorganized.	I hope by then I will be vaccinated and we may reach the point where things can somewhat return to normal.	Climate change and the effects it will have on the world.	31.0	60.0	61.0
386	386	weather	cost of things	change in government	42.0	44.0	70.0
387	387	The state of the world.	How open the country may be in relation to COVID.	The ever-cha.nging state of the world.	51.0	65.0	50.0
388	388						
389	389	Nothing	Catching up with bills	Nothing	26.0	54.0	93.0
390	390	I'm always optimistic that the next week will be different; bring more joy.	Vaccinated; able to spend time with family and friends who have also been vaccinated.	I think lessons have not been learned and things will go downhill by then again.	34.0	68.0	73.0
391	391	very little will change	I think things will be more open	I think it will be normal	41.0	69.0	95.0
392	392	Nothing in particular; I just try to stay positive	I'll be living in a different state	Being happy	60.0	100.0	100.0
393	393	Covid will be the same	more people will be vaccinated; but others will let down their guard	climate change will be worse; maybe new viruses will be here	20.0	44.0	38.0
394	394	virus	vaccine	long time	2.0	51.0	95.0
395	395						
396	396						
397	397						
398	398	First thing is I'm getting paid!!!  That really helps a lot.	I see myself working more on my goals.	I see myself as not only a non-smoker; but taking a lot better care of myself; and my surroundings.	90.0	88.0	80.0
399	399						
400	400	Bills that are due.	The economy will start to recover.	Hopefully we will have learned how to deal with the virus and it's variants.	10.0	50.0	90.0
401	401	payday	vaccine available	people forgetting about trump	80.0	85.0	80.0
402	402						
403	403						
404	404	Trump	Trump	No worries	61.0	85.0	100.0
405	405	I am being deposed in a lawsuit in about 30 days; so I am going to be anxious for the next 30 days!	I think I will feel MUCH better after the deposition; so I am feeling more optimistic for 6 months from now	I'm 64 and reasonably healthy. I think I will be more financially secure (??) and since my parents lived into their 90s very healthy; I think I will too.  So I think I will still be traveling and enjoying life. I hope.	50.0	91.0	90.0
406	406						
407	407	illness	vaccine	climate change	11.0	39.0	79.0
408	408	Bills	Bills	Bills	21.0	19.0	66.0
409	409	Weather and still possible rain/freezes	Should have vaccine by then and hopefully COVID will be under control	Our household should be nearly out of debt by then.	50.0	70.0	93.0
410	410						
411	411						
412	412						
413	413	normal schedule going to work	Democrats doing stupid things	total loss of freedom world wide	100.0	90.0	55.0
414	414	that my son and family are moving to be near me	that I will have started treatment for multiple myeloma and will be sick all the time	I will be dead; makes me sad	60.0	30.0	
415	415	Recovering from Texas cold snap	working more; covid relief	If health is ok	45.0	71.0	45.0
416	416						
417	417						
418	418	I'm generally optimistic; so I'm hoping things well be just fine.	I'm generally optimistic; so I'm hoping things well be just fine. I'd like to play a little bit of tennis this summer.	I'm generally optimistic; so I'm hoping things well be just fine. I'm hopeful to have made pilgrimage by then.	100.0	100.0	100.0
419	419	Vaccine availability	Vaccine and the new administration	Climate change and the resulting disruptions to food; water; etc	28.0	44.0	67.0
420	420	passing my kidney stone	weddings and events	having kids and a spouse	48.0	86.0	100.0
421	421	The things that I have going in my week.	The state of the situation with Covid-19.	Global warming and our ability to deal with it.	50.0	52.0	52.0
422	422	That there will be more vaccine available	I am hopeful that we will be able to travel again and visit family	Hopefully this Covid will be a thing of the past and we learn from this so it doesn't happen again	80.0	85.0	80.0
423	423	declining covid case numbers and increasing vaccination rates	increased vaccination rates and hopefully more returns to 'normal'	green power and energy being predominant	93.0	97.0	93.0
424	424	Busy at work; which I like	coronavirus	climate change	3.0	20.0	70.0
425	425	things are slowly getting better	give new president time to mix the mess from the last president	technology will be so far advanced from where it is now	56.0	70.0	94.0
426	426	Covid; social unrest; politics	Covid; social unrest; politics	Covid; social unrest; politics; social justice	7.0	22.0	50.0
427	427	Same old thing	Can start to really get back to normal	I hope to be safe and secure		77.0	100.0
428	428	A better financial situation	Completing my education	Having a fulfilling life	38.0	52.0	76.0
429	429	surge from covid variants	most people vaccinated who want the injections; emerging from isolation	environmental devistation from climate change	40.0	50.0	20.0
430	430						
431	431	Everyday life	State of the economy	State of the economy	72.0	82.0	82.0
432	432						
433	433	China Joe Biden continues to reign as a dictator. Every decision harms and weakens America.	"Biden's ""Reign of Incompetence"" continues."	After Pres. Trump's re-election in 2024 things turn around. Sanity is restored.	65.0	40.0	80.0
434	434	My health and my family	Family and my health	My health and family	93.0	92.0	99.0
435	435	How many Vaccinations are given	How will my higher educational institution where I work will look	What are the current Covid trends then	49.0	70.0	85.0
436	436						
437	437						
438	438						
439	439	The weather is improving.	Family birthdays are in the summer.	My finances will likely improve.	70.0	75.0	80.0
440	440	Covid numbers will be down and Spring Training baseball will be up and running.	I am hoping that social distancing will not still be in force; we won't have to wear masks and everyone will be back in school enjoying life again.	I will be much older and not able to do as much as I do now.	78.0	89.0	84.0
441	441						
442	442	Everthing calm with nice weather	Possibly moving.	Good things for my family.	90.0	74.0	90.0
443	443						
444	444	Continued Biden mis steps	Who actually is running things may be known	I hope people shake off the damage done by Biden and we can get back to normal	19.0	20.0	71.0
445	445	The pandemic	Possible vaccine	Maybe I'll be in heaven	11.0	17.0	32.0
446	446	doing taxes	new ffxiv expansion	Civil war; doubt i'll live that long though.	10.0	7.0	0.0
447	447						
448	448	I've been depressed and it's likely to continue.	I think things will have improved a little. I'll probably be vaccinated by then. But there are a lot of fault lines in society and in my life that can't be fixed so easily.	I really can't say; and I think things will even out to reasonable mediocrity.	10.0	20.0	50.0
449	449	The number of infected people. The number of covid deaths.	The number of infected people. The number of covid deaths.	The number of infected people. The number of covid deaths. The conomy.	10.0	19.0	73.0
450	450	having enough money; nicer weather	less COVID cases	COVID gone	83.0	83.0	100.0
451	451	warmer weather on the way	fewer masks; less social distancing; less government interference in everyday life	nearing retirement with sufficient wherewithal to feel carefree	75.0	80.0	85.0
452	452	I am not vaccinated and neither is most of the public.	I will be vaccinated and able to do more in public.	I think things will be back to normal and there will be more advancements in science/tech/health care.	50.0	73.0	98.0
453	453	I think about how things won't be much different; but how I am a bit optimistic anyway because I'll try to make the best of things	I think about how I'll hopefully be fully vaccinated and able to visit friends again	I think about how the world will probably have new technologies and hopefully be more progressive and take care of its citizens; but; something like global warming could mean the world is worse 10 years from now.	50.0	65.0	80.0
454	454	We're selling our house; so it's exciting.	I'm not sure if we'll like where we're living.	"The state of the world under the radical liberal agenda. If they keep controlling things; we won't have much of a ""United"" states anymore."	24.0	13.0	18.0
455	455	Will cases go down	Will things be back to normal	What will life be like after a pandemic	15.0	51.0	81.0
456	456	I don't think things will change much in the next week.	Most people will be vaccinated and we will have something like our old lives back.	COVID won't continue to be a big problem.  New problems may arise.	50.0	60.0	80.0
457	457	my current financial contraints and my mental health	my current financial contraints and my mental health	the pandemic will be over and I will hopefully be alive	0.0	70.0	85.0
458	458	Things will be the same and nothing will change from how it is	Travel will start to come back and we will be interacting more with real people and being outside in the Summer	Technology will improve and make life better; safer and cheaper	20.0	60.0	90.0
459	459						
460	460	stuck indoors and interpersonal relationships	pandemic better	just a guess	32.0	58.0	89.0
461	461	I am very optimistic about this coming 7 days from now because I will receive an extra income.	I am very optimistic that 6 months from now; we will be able to visit my inlaws who live in another country.	10 years from now; I am very optimistic about the success and stability of our own business.	80.0	80.0	81.0
462	462	I think about how people will start to return to nomal and the threat of covid-19 will increase because people aren't adheing to safety protocols	I think there may be herd immunity and it will be OK not to be afraid all the time	I think about how I will be living somewhere I love and feel relaxed and around people who are friendly; kind and considerate.	29.0	71.0	93.0
463	463						
464	464	things will be the same	Biden willl have gotten us into a mess	People don't change...hopefully government will change	100.0	88.0	41.0
465	465	Covid-19 variants	Most people should be vaccinated	We are going to be in better shape or much worse	2.0	50.0	50.0
466	466						
467	467	Its only a week so it will likely be the same as now	Covid will likely have gotten better and life will have improved	Covid will be gone and life will have gotten better	6.0	45.0	90.0
468	468	that only so many changes can take place in a span of 7 days	possible medical advancements as well as possible financial assistance for the public	10 years is quite a length of time and a lot can happen in time; good or bad	5.0	20.0	47.0
469	469	Plans I have to improve my health	financial concerns	I'm not sure I will still be alive.	72.0	80.0	60.0
470	470	I do t think things will be that different.	I'm hopeful that things will improve.	It's mostly a guess; I'm hopeful but I don't really know.	15.0	38.0	41.0
471	471						
472	472						
473	473						
474	474	How I feel about things is all under my control; and I choose to feel happy about things.	More money coming in; things being replaced and repaired; happy relationships.	It is too far out there for me to even know what will be in my life; but I choose to think things will be even better than they are now.	98.0	100.0	100.0
475	475	Things are going okay	Things will be better.	Things will progress.	82.0	85.0	83.0
476	476	Economy; Personal interaction	Economy; Personal interaction; Unrest	Economy; Personal interaction; Unrest; World events	5.0	16.0	46.0
477	477	things will be the same	there'll be some improvement	don't know how things will be	50.0	60.0	50.0
478	478	I think about the possibility of becoming infected with the coronavirus and think about prices increasing; such as gasoline and food etc. due to the coronavirus.	I think about the possibility of becoming infected with the coronavirus; but to a less degree. I think about prices increasing; but to a less degree.	I think about having a normal life with no coronavirus; being able to enjoy life; going to various places without fear of becoming sick due to the coronavirus.	80.0	90.0	90.0
479	479	Status Quo	More vaccinations	Normal life-no pandemic	5.0	45.0	83.0
480	480	Politics; Moderates	Low Wages; No change in political landscape; Virus Mutation	Climate Change; Automation; Water Shortages	1.0	1.0	1.0
481	481	Being optimistic about getting outside; at home to work in the yard and move about in fresh air	Hopeing to see children back in school living active lives with small businesses back as much as possible	Covid being more of a memory than in the forefront	50.0	73.0	100.0
482	482	I will still have a hard time getting caught up with bills.	I'm afraid if I loose my job; I will loose my house.	I hope to be retired living somewhere in the tropics with no snow.	30.0	40.0	75.0
483	483						
484	484	My health	My daughter being home from college; my health	My health; the next president my husband's health	70.0	90.0	90.0
485	485						
486	486	Results for interviews I have had recently.	COVID being almost over.	I will have a stable career.	45.0	65.0	90.0
487	487	it's been a good last 7 days but; anything can happen	I'm doing well but; anything can happen	I am not a fortune teller; hard to say if i'll even be alive by then	50.0	50.0	50.0
488	488	vaccines are still not available to the majority of the country	most people who want to have a vaccine will have been able to get one	Covid will be over and we will hopefully be better prepared as a nation to handle any future pandemic.	5.0	60.0	60.0
489	489						
490	490	Better weather; good news	New job; better weather	See grandchildren be successful	35.0	70.0	60.0
491	491						
492	492	Nothing will fundamentally change in this short time span.	There may be some progress with percentage of population vaccinated by this point.	Lot of societal decay may occur in this time frame.	10.0	20.0	12.0
493	493	President Biden working on fixing all the things former president Trump broke	the coronavirus vaccine finally getting the virus under control	our society dealing with racism and fixing our police brutality problem; as well as weaning ourselves off of fossil fuels and onto solar and wind power	5.0	20.0	75.0
494	494	My daily life and the daily life of my family and friends are what comes to mind the most	I relaly consider society in general in relation to covid and other things that can potentially happen	I think about other viruses similar to the coronavirus and global warming and how that will effect us if nothing is done	50.0	79.0	60.0
495	495						
496	496						
497	497						
498	498	I'm just hoping the next stimulus will be passed by then	wondering if anything will improve financially/economically	large scale shifts in the political landscape	20.0	25.0	25.0
499	499	national issues	progress improving those issues	life improvements	35.0	60.0	90.0
500	500	Closer to getting the vaccine; positivity rates/hospitalizations falling	Most people will have received vaccine; in-person visits again; but economy still challenging	Climate change events will be worse; not sure if country will be cohesive; if we have 4 more years of Trump(or Jr.)	60.0	73.0	60.0
501	501						
502	502						
503	503	Vaccine is available	We are free from covid-19	we are back to pre-covid situation.	70.0	100.0	100.0
504	504	Think about current; and guess about future	I think about furute	I guess it.	17.0	15.0	11.0
505	505	that its not enough time for any meaningful difference to be made w vaccines	that more people will have vaccines and we will return to a more normal state	that advancements in medical science and technology will make the world a better and more equitable place	8.0	54.0	85.0
506	506	well cpack is this weekend and i have to hear about trump so i feel awful	trump and the inserections being violent	america will be fucked and i maybe dead by then or in bad health	38.0	39.0	18.0
507	507						
508	508	Right now I am in physical therapy for a broken elbow. I think it will get better.	I think I will be back to work and my financial situation will be better.	Now that makes me think of Covid and it will be gone by then.	77.0	94.0	95.0
509	509	"Washington politicians still refuse to work together to bring this nation together. They bring up new ""excuses"" for delaying action. They need to have their paychecks withheld like the rest of the country."	I feel there's going to be a major stock market crash and recession. Who knows how long the vaccines will last. How strong with the next level of variants be.	Hopefully 10 years will be long enough to remove the liars and cheaters from Washington and get some good people in there who will work together and want this country back together more than they want their party to win.	3.0	3.0	67.0
510	510						
511	511						
512	512	more vaccines being administered; financial situation slowly improving	a lot more people getting vaccines; better economy; things opening up more	somewhat back to the new normal; able to move about freely	91.0	96.0	95.0
513	513						
514	514	I hope I still have a job.	I wonder how much impact the pandemic will still have.	I worry about the downward spiral of the climate.	5.0	30.0	37.0
515	515	I think about how society is doing; is there an uptick in sickness; and is there political strife.	I think about the state of COVID; as well as myself and family.	I think about myself; friends and family.	55.0	75.0	95.0
516	516	My Wife's Birthday	Summer	Outer Space	92.0	92.0	100.0
517	517	My health; the weather; infection rates	Possibility of having been vaccinated; being able to travel to see my family; progress with my hobbies	My career; my living arrangements	15.0	55.0	90.0
518	518						
519	519	I think about job security.	I think about my future and money saved up/	I think about my mental health.	100.0	35.0	51.0
520	520						
521	521	nothing really different from today	many people vaccinated; partial return to normalcy	vaccines are effectoive; healthy cris over; but new crises happening	16.0	60.0	75.0
522	522	Staying healthy.	Staying healthy	Staying healthy	21.0	34.0	65.0
523	523						
524	524	working more; earning more money	most people will be vaccinated; I will be close to being married	coronavirus should just be a memory but I worry about global warming	75.0	90.0	95.0
525	525	Going out and playing tennis when the weather is good	Being able to travel and see my grandson	That I am still alive at 82	82.0	92.0	89.0
526	526	Everything is pretty much turning into order as of now so i hope in the next 7 days it'll be better	Economy	Safer World; cautionous and experienced people; developed technology	40.0	56.0	100.0
527	527	Catch or not catch the Covid	Getting the vaccine or not	Another pandemic or not. War or not?	75.0	79.0	83.0
528	528	Catch or not catch the Covid	Getting the vaccine or not	Another pandemic or not. War or not?	75.0	79.0	83.0
529	529	I expect that nothing much will have changed in just seven days and things will be the same.	I think that there might be some loosening of restrictions as more people are vaccinated but that life overall will not be normalized yet.	I am fairly pessimistic about what things will be like 10 years from now if the direction the country is now taking continues.	3.0	16.0	4.0
530	530						
531	531	nothing is really changing; people are tired	I see a lot of fallout from the vaccine....negatively	the world changes everyday and this is just the start.  Worse is yet to come	1.0	15.0	38.0
532	532						
533	533						
534	534	Advances in health; science; the world; my community;  and my health.	Advances in health; science; the world; my community; my health; and an end to COVID-19	Advances in health; science; the world; my community; my health; an end to COVID-19; and financial independence.	100.0	100.0	100.0
535	535	Finances	Finances	Age	10.0	40.0	60.0
536	536						
537	537	sucess	girlfriend	money	99.0	100.0	100.0
538	538						
539	539	Getting closer to Sprig	Summer vacation	Retirement	100.0	100.0	100.0
540	540						
541	541	that's not far	vaccinations	family members	51.0	66.0	89.0
542	542	weather	freedom	normalcy	73.0	79.0	89.0
543	543						
544	544	Need to open up society	Need to stop trampling on people's rights	Dr. Fauci may not be alive	13.0	22.0	28.0
545	545	Pandemic; continuing misinformation; continuing polarization of society.	Optimistic about vaccine and potential for positive change by the new administration; pessimistic about pandemic; misinformation; polarization.	Very pessimistic about climate change; disease; war; polarization; nearly everything.	5.0	25.0	50.0
546	546	work seeing friends	friends; summer activities	friends family	89.0	91.0	90.0
547	547	how things go at work	if covid 19 cases are down	my health during retirement	40.0	50.0	70.0
548	548						
549	549	More vaccinations; less COVID deaths and hospitalizations	Lessening of chances to acquire COVID.  More safety in public places	Impossible to tell what will happen; but always want to be hopeful.	20.0	70.0	49.0
550	550	The miserable disconnect and division of my fellows	the jubilance that we no longer have a moron as president	that maybe our younger generation will see that we're better working together than working against each other	59.0	80.0	100.0
551	551	nothing changes and I will have to hear about people whose houses were ruined by the Freeze in Texas	that I will not earn the money I used to earn	that climate change will be worse and the US will be worse off too	73.0	76.0	16.0
552	552	Things will be better	Optimism	Not sure	71.0	77.0	88.0
553	553	State of pandemic; my personal stance in life	State of pandemic; my personal stance in life	My future	50.0	60.0	85.0
554	554	will things be worse than they are now?	will things be worse than they are now?	Will the country be less divided than it is now	81.0	61.0	91.0
555	555						
556	556	stupidity of people	pandemic easing	I will be dead not a part of it	46.0	69.0	80.0
557	557	More people are getting vaccinated. I will close to getting my second dose of the COVID vaccine at that time.	"I think more people will be vaccinated; and the disease will be more under control. We will be able to live a little more ""normally."""	I think the pandemic will be over. I think we will be able to live normally.	35.0	45.0	95.0
558	558						
559	559	progress with the vaccine	the pandemic possibly getting under control around the world	climate change	15.0	40.0	40.0
560	560	pandemic and hate will continue to rage	pandemic will have lessened but hate continues	current pandemic under control.  optimistic that cooler heads prevail	17.0	40.0	93.0
561	561						
562	562						
563	563	My bank account. My children's health.	The vaccine rollout; the expectation COVID will decline more and more.	My bank account. Owning a home.	96.0	99.0	100.0
564	564	More people will have received the vaccine	More people will have received the vaccine. Warmer weather	More people will have received the vaccine	51.0	65.0	94.0
565	565	If I'll get my work projects done in time and if I'll start feeling better physically.	How work will be going; if I'll be back at college; and if the COVID restrictions will be relaxed somewhat.	What sort of jobs I might be doing and where I might be living; what my life in general might be like; what sort of politicians might be elected and what sort of policies might be enacted.	60.0	70.0	85.0
566	566	The same thing that's happening now--people being jerks and not following proper COVID precautions	More people will be vaccinated so those same jerks who don't follow COVID precautions have less of an impact	Who knows what'll happen to this world 10 years from now with war; famine; climate change.	0.0	29.0	50.0
567	567						
568	568	That spring is closer.	Hopefully I'll have a Covid-19 vaccine by then.	Hopefully things in the world will be a little bit better.	61.0	80.0	88.0
569	569	capitalism will still destroy us	capitalism will still destroy us	capitalism will still destroy us	16.0	53.0	72.0
570	570						
571	571	Virus	Vaccine	My career	30.0	60.0	87.0
572	572	It wil just be like any other day.	Ill be recovering from surgery	That i will be older and forgetful	100.0	90.0	59.0
573	573	Relaxation and no work	Moved to new home	No masks	50.0	75.0	100.0
574	574	Whether anything significant will happen	Whether anything significant will happen	Whether anything significant will happen	61.0	63.0	64.0
575	575	continuation of COVID	continuation of COVID	aftermath of COVID and effects of climat change	0.0	40.0	90.0
576	576	I'll have received my first injection of the COVID vaccine	a majority of the population should have received the vaccine and things should be getting back to normal.	I will be fully retired and enjoying my free time	80.0	100.0	85.0
577	577	nothing really	i dont really think about the future	i dont really think about the future	49.0	49.0	51.0
578	578	Access to a vaccine and how many loved ones have received the vaccine.	Possibility of being vaccinated but still wearing a mask.	Hopefully; the pandemic will be history and the economy rebounded... people are back to work; school and thriving.	25.0	61.0	93.0
579	579						
580	580	work stress	good health from the covid vaccine	the health and happiness of my kids	70.0	90.0	100.0
581	581	Every day is a good day.	Every day is a good day.	Every day is a good day. Although I am concerned about the individual rights and freedoms of individuals to speak their minds without retribution for their livelihoods	87.0	90.0	92.0
582	582	How the Biden administration will continue to exploit the pandemic for their own purposes.	How the Biden administration will continue to exploit the pandemic for their own purposes.	How the Left will continue to exploit the pandemic for their own purposes.	20.0	25.0	50.0
583	583						
584	584	Improving conditions	Back to normal	Stability and growth	21.0	65.0	88.0
585	585						
586	586	How many more people will have been able to get vaccinated; all of the mail delivery services in the U.S. getting closer to back on schedule; I'll personally be finished with the first part of my doctoral qualifying exams and will know if I've been approved to move onto the last part of the process	I will be living in a more comfortable place; I will be able to see my parents every day; I will know if I passed my doctoral qualifying exams and hopefully will be working on my dissertation already; I think that most people in the top tiers of the vaccine rollout plan will have had the opportunity to be vaccinated; I hope that more people will decide to receive the vaccine by 6 months from now after seeing so many other people getting it (not very optimistic about that; though)	I think climate change is only going to get worse; and it's hard to know how much more damage will have been caused by humans 10 years from now (I think it will be a lot); I will be in my 40s and that is very terrifying because I haven't gotten to a point in my adult life where I'm happy yet (I haven't met a partner; e.g.)	80.0	85.0	67.0
587	587	Humanity is stupid.  I hate human society.	I will not do anything to help with the covid situation.	Other things will happen; whether it's related to disease or not.	0.0	0.0	0.0
